Date,Close,Open,High,Low,Volume,Change
2015-12-07,208.35,209.23,209.73,207.2,102030000.0,-0.0060999999999999995
2015-12-08,206.95,206.49,208.29,205.78,103370000.0,-0.0067
2015-12-09,205.34,206.19,208.68,204.18,162400000.0,-0.0078000000000000005
2015-12-10,205.87,205.42,207.43,205.14,116130000.0,0.0026
2015-12-11,201.88,203.35,204.14,201.51,211170000.0,-0.0194
2015-12-14,202.9,202.07,203.05,199.95,182390000.0,0.0051
2015-12-15,205.03,204.7,206.11,202.87,154070000.0,0.0105
2015-12-16,208.03,206.37,208.39,204.8,197020000.0,0.0146
2015-12-17,204.86,208.4,208.48,204.84,173090000.0,-0.0152
2015-12-18,200.02,202.77,202.93,199.83,251390000.0,-0.0236
2015-12-21,201.67,201.41,201.88,200.09,99090000.0,0.008199999999999999
2015-12-22,203.5,202.72,203.85,201.55,111030000.0,0.0091
2015-12-23,206.02,204.69,206.07,204.58,110990000.0,0.0124
2015-12-24,205.68,205.72,206.33,205.42,48540000.0,-0.0017000000000000001
2015-12-28,205.21,204.86,205.26,203.94,65900000.00000001,-0.0023
2015-12-29,207.4,206.51,207.79,206.47,92640000.0,0.010700000000000001
2015-12-30,205.93,207.11,207.21,205.76,63320000.0,-0.0070999999999999995
2015-12-31,203.87,205.13,205.89,203.87,114880000.0,-0.01
2016-01-04,201.02,200.49,201.03,198.59,222350000.0,-0.013999999999999999
2016-01-05,201.36,201.4,201.9,200.05,110850000.0,0.0017000000000000001
2016-01-06,198.82,198.34,200.06,197.6,152110000.0,-0.0126
2016-01-07,194.05,195.33,197.44,193.59,213440000.0,-0.024
2016-01-08,191.92,195.19,195.85,191.58,209820000.0,-0.011000000000000001
2016-01-11,192.11,193.01,193.41,189.82,187940000.0,0.001
2016-01-12,193.66,193.82,194.55,191.14,172330000.0,0.008100000000000001
2016-01-13,188.83,194.45,194.86,188.38,221170000.0,-0.024900000000000002
2016-01-14,191.93,189.55,193.26,187.66,240800000.0,0.016399999999999998
2016-01-15,187.81,186.77,188.76,185.52,324850000.0,-0.0215
2016-01-19,188.06,189.96,190.11,186.2,195240000.0,0.0013
2016-01-20,185.65,185.03,187.5,181.02,286550000.0,-0.0128
2016-01-21,186.69,186.21,188.87,184.64,195770000.0,0.005600000000000001
2016-01-22,190.52,189.78,190.76,188.88,168320000.0,0.020499999999999997
