"Date","Price","Open","High","Low","Vol.","Change %"
"10.06.2024","213,54","213,13","214,02","212,76","4,22M","0,92%"
"07.06.2024","211,60","215,07","215,19","211,54","12,20M","-3,57%"
"06.06.2024","219,43","218,36","219,97","218,10","5,28M","0,74%"
"05.06.2024","217,82","216,69","218,08","215,93","5,48M","1,18%"
"04.06.2024","215,27","216,24","216,24","214,20","5,51M","-0,90%"
"03.06.2024","217,22","215,92","217,82","215,54","6,17M","0,89%"
"31.05.2024","215,30","217,77","217,96","214,65","5,62M","-0,59%"
"30.05.2024","216,57","216,69","217,51","216,41","3,07M","0,19%"
"29.05.2024","216,16","216,92","217,16","216,12","4,18M","-0,93%"
"28.05.2024","218,19","218,43","218,59","217,21","3,81M","1,05%"
"24.05.2024","215,92","216,96","217,21","215,74","4,21M","0,09%"
"23.05.2024","215,72","218,78","219,23","215,66","9,54M","-1,99%"
"22.05.2024","220,11","223,09","223,24","219,74","8,90M","-1,84%"
"21.05.2024","224,23","224,77","225,21","223,70","4,00M","-0,15%"
"20.05.2024","224,56","223,79","225,66","223,02","5,99M","0,40%"
"17.05.2024","223,66","222,18","223,85","221,67","10,48M","1,65%"
"16.05.2024","220,03","220,14","220,59","219,41","4,30M","-0,39%"
"15.05.2024","220,89","219,06","221,19","217,65","9,30M","1,28%"
"14.05.2024","218,09","217,31","218,38","216,98","4,66M","0,85%"
"13.05.2024","216,26","217,06","217,31","215,80","4,90M","-1,12%"
"10.05.2024","218,71","219,22","219,60","218,08","8,70M","0,81%"
"09.05.2024","216,95","214,48","216,95","214,44","7,73M","1,58%"
"08.05.2024","213,58","213,62","214,80","213,50","4,46M","-0,29%"
"07.05.2024","214,21","214,52","214,93","213,88","5,66M","-0,46%"
"06.05.2024","215,20","215,14","215,91","214,47","6,84M","1,05%"
"03.05.2024","212,96","212,89","213,23","210,71","8,68M","-0,08%"
"02.05.2024","213,13","211,90","213,71","211,49","6,29M","-0,31%"
"01.05.2024","213,79","212,96","215,50","212,41","10,37M","0,91%"
"30.04.2024","211,87","213,38","214,13","211,80","11,25M","-1,99%"
"29.04.2024","216,18","216,02","217,21","215,25","6,41M","-0,20%"
"26.04.2024","216,62","216,77","217,07","215,53","6,27M","0,32%"
"25.04.2024","215,92","214,47","217,05","214,34","6,61M","0,60%"
"24.04.2024","214,64","214,76","216,35","214,36","5,74M","-0,19%"
"23.04.2024","215,04","213,96","215,86","213,87","10,73M","-0,25%"
"22.04.2024","215,57","216,35","216,96","215,14","13,40M","-2,47%"
"19.04.2024","221,03","220,49","222,36","220,08","8,69M","0,31%"
"18.04.2024","220,34","221,31","221,46","219,31","6,50M","0,34%"
"17.04.2024","219,59","221,05","221,76","218,52","11,52M","-0,74%"
"16.04.2024","221,22","220,18","221,99","218,78","10,75M","0,12%"
"15.04.2024","220,95","217,94","221,03","215,16","13,24M","1,87%"
"12.04.2024","216,89","221,87","225,09","216,02","30,90M","-1,32%"
"11.04.2024","219,80","216,85","219,84","215,89","11,42M","1,94%"
"10.04.2024","215,61","215,37","217,78","214,68","13,32M","-0,95%"
"09.04.2024","217,67","217,81","218,86","216,45","13,08M","0,55%"
"08.04.2024","216,48","215,98","216,81","214,61","10,33M","0,62%"
"05.04.2024","215,14","212,49","215,74","212,22","13,38M","1,71%"
"04.04.2024","211,52","212,00","213,45","211,02","12,31M","-0,57%"
"03.04.2024","212,74","210,57","212,83","210,30","11,42M","0,88%"
"02.04.2024","210,89","209,07","211,03","208,36","13,42M","1,48%"
"01.04.2024","207,82","208,68","208,73","206,29","13,68M","1,02%"
"28.03.2024","205,72","204,54","206,05","203,87","9,19M","1,29%"
"27.03.2024","203,10","202,32","203,22","202,32","6,04M","0,72%"
"26.03.2024","201,64","202,65","202,76","201,07","5,75M","0,32%"
"25.03.2024","200,99","201,19","201,95","200,96","4,03M","0,32%"
"22.03.2024","200,35","201,32","201,86","199,71","6,92M","-0,80%"
"21.03.2024","201,97","203,88","203,92","200,60","7,40M","-0,10%"
"20.03.2024","202,18","199,16","202,66","199,12","9,59M","1,19%"
"19.03.2024","199,80","199,62","199,81","198,93","4,66M","-0,11%"
"18.03.2024","200,03","199,66","200,15","199,51","7,21M","0,16%"
"15.03.2024","199,71","199,94","200,63","199,57","4,56M","-0,32%"
"14.03.2024","200,35","200,37","200,47","199,34","6,87M","-0,42%"
"13.03.2024","201,19","200,44","201,86","200,35","5,93M","0,70%"
"12.03.2024","199,79","200,42","200,63","199,16","9,44M","-1,09%"
"11.03.2024","202,00","201,71","202,41","201,46","7,33M","0,18%"
"08.03.2024","201,63","200,89","203,30","200,45","13,54M","0,85%"
"07.03.2024","199,94","199,54","200,11","198,91","8,40M","0,57%"
"06.03.2024","198,81","198,08","199,30","197,44","10,46M","0,82%"
"05.03.2024","197,19","197,44","198,14","196,65","9,67M","0,60%"
"04.03.2024","196,01","194,15","196,33","193,88","12,22M","1,62%"
"01.03.2024","192,89","190,27","193,40","189,44","13,41M","1,89%"
"29.02.2024","189,31","189,64","189,92","189,23","6,85M","0,52%"
"28.02.2024","188,34","188,34","188,52","188,03","2,82M","0,18%"
"27.02.2024","188,00","188,58","188,72","187,88","5,17M","-0,11%"
"26.02.2024","188,20","187,79","188,36","187,53","4,49M","-0,22%"
"23.02.2024","188,62","187,56","189,18","187,46","6,83M","0,57%"
"22.02.2024","187,56","187,56","187,64","187,05","4,55M","0,04%"
"21.02.2024","187,48","187,88","188,04","187,10","5,79M","0,01%"
"20.02.2024","187,47","187,96","188,03","187,40","5,53M","0,61%"
"16.02.2024","186,34","185,08","186,67","184,84","6,52M","0,37%"
"15.02.2024","185,66","185,60","186,02","185,10","6,23M","0,67%"
"14.02.2024","184,42","184,27","184,88","183,78","7,03M","-0,06%"
"13.02.2024","184,53","185,35","185,38","184,33","9,53M","-1,38%"
"12.02.2024","187,11","186,60","187,27","186,36","4,71M","-0,26%"
"09.02.2024","187,60","187,56","187,77","187,14","4,41M","-0,39%"
"08.02.2024","188,33","187,91","188,53","187,82","3,87M","-0,09%"
"07.02.2024","188,50","188,45","189,39","188,28","6,28M","-0,03%"
"06.02.2024","188,55","187,94","188,85","187,74","4,87M","0,52%"
"05.02.2024","187,57","186,88","187,82","186,70","5,44M","-0,55%"
"02.02.2024","188,61","188,07","188,87","187,85","7,34M","-0,95%"
"01.02.2024","190,41","189,71","191,36","188,99","10,28M","1,04%"
"31.01.2024","188,45","189,37","190,46","188,13","7,89M","-0,07%"
"30.01.2024","188,59","189,70","189,83","187,98","4,98M","0,14%"
"29.01.2024","188,33","188,31","188,54","187,19","5,63M","0,71%"
"26.01.2024","187,01","187,27","187,38","186,76","5,06M","-0,07%"
"25.01.2024","187,14","187,34","187,64","186,46","4,65M","0,40%"
"24.01.2024","186,40","188,33","188,37","186,32","6,09M","-0,82%"
"23.01.2024","187,95","187,45","188,15","187,28","5,04M","0,39%"
"22.01.2024","187,22","187,23","187,76","186,85","4,40M","-0,38%"
"19.01.2024","187,93","188,26","188,30","187,44","5,72M","0,30%"
"18.01.2024","187,37","186,36","187,40","186,30","4,69M","0,82%"
"17.01.2024","185,84","187,31","187,42","185,45","8,64M","-1,10%"
"16.01.2024","187,91","189,15","189,26","187,54","6,55M","-0,95%"
"12.01.2024","189,71","190,67","191,08","189,16","6,83M","0,98%"
"11.01.2024","187,87","188,02","188,55","186,56","6,83M","0,20%"
"10.01.2024","187,50","188,14","188,44","187,21","4,50M","-0,23%"
"09.01.2024","187,93","188,68","188,78","187,73","4,44M","0,03%"
"08.01.2024","187,87","187,21","188,74","187,11","6,21M","-0,78%"
"05.01.2024","189,35","189,68","191,26","189,08","7,48M","0,02%"
"04.01.2024","189,32","189,08","189,75","188,69","4,42M","0,10%"
